Code tiers bénéficiaire;Nom bénéficiaire;Montant versé;Type subvention
10661;TOULOUSE FAOURETTE SPORTS ASSOC;5000.0;Fonctionnement
44946;ECOLE DES ENFANTS HOSPITALISES CHU PURPAN;1524.0;Fonctionnement
26674;CERCLE RICHARD WAGNER ASSOC;1000.0;Fonctionnement
50397;CHORALE DES AINES LA JOIE DE VIVRE;320.0;Fonctionnement
46995;FOYER 3IEME AGE EMPALOT DASTE;800.0;Fonctionnement
12720;GRENIER THEATRE ASSOC;5000.0;Fonctionnement
10584;LA FACON ASSOC;1000.0;Fonctionnement
189;AVF TOULOUSE ASSOC;1000.0;Fonctionnement
44139;LA GRANDE EXPO ASSOC;5000.0;Fonctionnement
267;COLLECTIF URGENCE D ACTEURS CULTURELS;25000.0;Fonctionnement
3837;BIDIBULLES ASSOC;288856.0;Fonctionnement
14008;CRECHE CLEMENCE ISAURE;224773.88;Fonctionnement
3346;REGIE DE QUARTIER TOULOUSE BELLEFONTAINE ASSOC;34000.0;Fonctionnement
7932;CUMULO NIMBUS;39500.0;Fonctionnement
25945;UNIVERSCENES ASSOC;8000.0;Fonctionnement
2863;COMPAGNIE LA BARAQUE;24300.0;Fonctionnement
53960;AGITEE ASSOC;1000.0;Fonctionnement
16616;FOOTBALL CLUB MAHORAIS DE TOULOUSE;700.0;Fonctionnement
2154;SPORT QUILLES TOULOUSAIN ASSOC;1000.0;Fonctionnement
13887;GIHP GROUPE INSERTION PERSONNES HANDICAPES PHYSIQUES ASSOC;2200.0;Fonctionnement
45784;CLUB DU TEMPS LIBRE QUARTIER NORD ASSOC;800.0;Fonctionnement
2056;ARTS ET OC ASSOC;2990.0;Fonctionnement
54797;LES PETITS POIS ASSOC;1000.0;Fonctionnement
25660;TRANSHEPATE MIDI PYRENEES ASSOC;500.0;Fonctionnement
54709;FIL ROUGEB ASSOC;5500.0;Fonctionnement
65068;EL CARACOL;2000.0;Fonctionnement
7904;LA CUISINE ASSOC;2000.0;Fonctionnement
26045;VALENTIN HAUY AVH ASSOC;2000.0;Fonctionnement
25566;SEM DEVELOPPEMENT TOURISME REGIONAL - SO TOULOUSE;700000.0;Fonctionnement
1479;ANTIPHONA ASSOC;5000.0;Fonctionnement
47166;FAISONS L EUROPE;1300.0;Fonctionnement
24822;THEATRE TALHERS PRODUCTION ASSOC;5000.0;Fonctionnement
20898;CRECHE PARENTALE PREMIERS PAS SUR LA TERRASSE;107270.0;Fonctionnement
39725;RFTM RECETTE DES FINANCES TOULOUSE MUNICIPALE;-61734.0;Fonctionnement
19478;PETIT OURS BRUN ASSOC;71720.0;Fonctionnement
4835;BRIGADE A4 ASSOC;2000.0;Fonctionnement
188;CRECHE ACCUEIL DU GRAND ROND;108463.24;Fonctionnement
21778;RELAIS ENFANTS PARENTS MP ASSOC;10200.0;Fonctionnement
13297;AS HERSOISE ASSOC;25000.0;Fonctionnement
18031;MOBILITE E S ASSOC;57000.0;Fonctionnement
6706;CENTRE INFORMATION SUR DROITS FEMMES ET FAMILLES HAUTE GARONNE ASSOC;18300.0;Fonctionnement
14065;COMPAGNIE HEDDY MAALEM;68000.0;Fonctionnement
14213;UN PAVE DANS LE JAZZ ASSOC;10000.0;Fonctionnement
533;AGART AMICALE GUYANAIS ANTILLAIS TOULOUSE ASSOC;5000.0;Fonctionnement
43061;ANACR ASS NATIONALE ANCIENS COMBATTANTS DE LA RESISTANCE ASSOC;335.0;Fonctionnement
56624;INPACTS ASSOC;25000.0;Investissement
47881;CLUB DES VIOLETTES DE LALANDE;800.0;Fonctionnement
48325;HOPITAL MARCHANT SIRPEA ASSOC;1035.0;Fonctionnement
55775;AFRT ASS FRANCO ROUMAINE DE TOULOUSE ASSOC;1500.0;Fonctionnement
7155;COMBUSTIBLE ASSOC;29000.0;Fonctionnement
6863;CLASSISCO POUR LA MUSIQUE A L ECOLE ASSOC;7900.0;Fonctionnement
46011;AIDE AUX PATIENTS SOUFRANT D HYPERTENSION ARTERIELLE PULMONAIRE ASSOC;500.0;Fonctionnement
46980;TOUTES VOILES DEHORS ASSOC;1000.0;Fonctionnement
47412;HABITAT JEUNES O TOULOUSE  ASSOC;24002.0;Fonctionnement
66056;MIRAILLEMENT GRAND ASSOC;800.0;Fonctionnement
24061;FRANCE SOLIDARITE ASSOC;8000.0;Fonctionnement
21438;RANDO PLAISIRS ASSOC;500.0;Fonctionnement
36707;SYNDICAT SUD CUTM;2284.53;Fonctionnement
63082;ACTISSE ASSOC;1800.0;Fonctionnement
24793;TAGO GYM ASSOC;3000.0;Fonctionnement
9952;EMETTEUR COMPAGNIE;5000.0;Fonctionnement
5457;CRECHE LE CAPPE;132704.0;Fonctionnement
26522;HELENE VISCOSE ASSOC;3000.0;Fonctionnement
26805;COMPAGNIE X ICI;10000.0;Fonctionnement
1417;ANIMATION DE LOISIRS A L HOPITAL ASSOC;500.0;Fonctionnement
18007;MJC ROGUET MAISON JEUNES CULTURE ASSOC;47700.0;Fonctionnement
3026;STADE TOULOUSAIN BASEBALL ASSOC;20000.0;Fonctionnement
22989;VIVRE AU SATIE ASSOC;2500.0;Fonctionnement
19532;PACE  PHOTOGRAPHIE  CHATEAU EAU ASSOC;530000.0;Fonctionnement
25191;THEATRE GARONNE ASSOC;800000.0;Fonctionnement
4482;CLUB BOULISTE TOULOUSAIN ASSOC;15000.0;Fonctionnement
46139;BOULES RAPHAEL PARC ASSOC;2500.0;Fonctionnement
