Section liquidation;Code tiers bénéficiaire;Nom bénéficiaire;Montant versé 2015
Fonctionnement;19484;CLAE DES OUSTALOUS ASSOC;139755.0
Fonctionnement;15955;CLAE ARMAND LEYGUES ASSOC;157760.74
Fonctionnement;20835;ASSOC ECOLE PUBLIQUE POUVOURVILLE;99946.0
Fonctionnement;5720;CLUB CASSELARDIT FONTAINES;450.0
Fonctionnement;21199;PUPILLES ENSEIGNEMENT PUBLIC ASSOC;62500.0
Fonctionnement;5829;LILI CATHARSIS ASSOC;6300.0
Fonctionnement;725;LES AIRS SOLIDAIRES ASSOC;800.0
Fonctionnement;21025;PROGRESSIVE PAROLE ASSOC;6300.0
Fonctionnement;54514;FONDATION D AUTEUIL FA LAEP D EMPALOT;28876.63
Fonctionnement;61655;URAVF UNION REGIONALE DES AVF DE MIDI PYRENEES ASSOC;900.0
Fonctionnement;14213;UN PAVE DANS LE JAZZ ASSOC;10000.0
Fonctionnement;21439;ACCUEIL LOISIRS RANDO ASSOC;600.0
Fonctionnement;26306;VEUVES ET  VEUFS DE  HAUTE GARONNE ASSOC;1000.0
Fonctionnement;17527;TOULOUSE MELODIE FRANCAISE ASSOC;10800.0
Fonctionnement;4148;LA BOITE A OUTILS ASSOC;1000.0
Fonctionnement;75031;ENTREE DE SECOURS ASSOC;1000.0
Fonctionnement;46014;INSUFFISANTS RENAUX DE TOULOUSE ET MIDI PYRENEES ASSOC;500.0
Fonctionnement;26822;YAKA POUCHKA ASSOC;2494.0
Fonctionnement;5293;CAMOM ASSOC;4500.0
