nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBeneficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPeriodeVersement;idRAE;notificationUE;pourcentageSubvention
Ville de Toulouse;21310555400017;;;APEC ASS PROMOMOTION D UNE EDUCATION CREATIVE AU SENEGAL;50953086100020;Subvention de Fonctionnement;6000.0;aide en numéraire;échelonné;2017-07-05;;non;1
Ville de Toulouse;21310555400017;;;ARC EN CIEL TOULOUSE ASSOC;49803966800013;Subvention de Fonctionnement;7000.0;aide en numéraire;échelonné;2017-12-21;;non;1
Ville de Toulouse;21310555400017;;;ARTISTES OCCITANS ASSOC;38892850900024;Subvention de Fonctionnement;500.0;aide en numéraire;unique;2017-10-31;;non;1
Ville de Toulouse;21310555400017;;;ASEAT SPORTIVE CTRE ESSAIS AERONAUTIQUE ASSOC;77694566900039;Subvention de Fonctionnement;4800.0;aide en numéraire;unique;2017-07-07;;non;1
Ville de Toulouse;21310555400017;;;ASS CENTRES DE SOINS DE TOULOUSE ET ENVIRON;30600249400053;Subvention de Fonctionnement;2400.0;aide en numéraire;unique;2017-03-22;;non;1
Ville de Toulouse;21310555400017;;;ASSOCIATION GESTION D ALTERNATIBA TOULOUSE ASSOC;81079694600012;Subvention de Fonctionnement;8000.0;aide en numéraire;unique;2017-12-26;;non;1
Ville de Toulouse;21310555400017;;;ASSOCIATION PETIT BOIS COMPAGNIE;40325096200020;Subvention de Fonctionnement;10742.0;aide en numéraire;échelonné;2017-11-20;;non;1
Ville de Toulouse;21310555400017;;;ASSOCIATION Y ARRIVAREM;50809290500027;Subvention de Fonctionnement;768.0;aide en numéraire;unique;2017-07-11;;non;1
Ville de Toulouse;21310555400017;;;ASS POUR LA DEFENSE DES FAMILLES ET DE L INDIVIDU MIDI PYRENEES;45024144300016;Subvention de Fonctionnement;1400.0;aide en numéraire;unique;2017-07-11;;non;1
Ville de Toulouse;21310555400017;;;ASS POUR LA PROMOTION CULTURE ET ARTS;38536944200038;Subvention de Fonctionnement;23198.0;aide en numéraire;échelonné;2017-08-04;;non;1
Ville de Toulouse;21310555400017;;;ASS REG CONSEILLER ENTREPRISES COLLECTIV ASSOC;43205953300021;Subvention de Fonctionnement;8000.0;aide en numéraire;unique;2017-07-25;;non;1
Ville de Toulouse;21310555400017;;;AUTEUIL PETITE ENFANCE ASSOC;52524288900018;Subvention de Fonctionnement;141595.92;aide en numéraire;échelonné;2017-09-28;;non;1
Ville de Toulouse;21310555400017;;;AUTRES MOTS ASSOC;43337602700028;Subvention de Fonctionnement;2700.0;aide en numéraire;unique;2017-07-27;;non;1
Ville de Toulouse;21310555400017;;;BALMA ST EXUPERY 31 ASSOC;30112719700020;Subvention de Fonctionnement;14500.0;aide en numéraire;unique;2017-07-07;;non;1
Ville de Toulouse;21310555400017;;;BOIS ET COMPAGNIE;48861282100022;Subvention de Fonctionnement;35800.0;aide en numéraire;échelonné;2017-09-18;;non;1
Ville de Toulouse;21310555400017;;;CAMOM ASSOC;50783281400028;Subvention de Fonctionnement;1500.0;aide en numéraire;unique;2017-04-12;;non;1
Ville de Toulouse;21310555400017;;;CAP CENTRE ASSOC;43250433000015;Subvention de Fonctionnement;5000.0;aide en numéraire;unique;2017-10-31;;non;1
Ville de Toulouse;21310555400017;;;CASAL CATALA DE TOLOSA DEL LLENGUADOC;39400986400015;Subvention de Fonctionnement;3500.0;aide en numéraire;unique;2017-08-09;;non;1
Ville de Toulouse;21310555400017;;;CENTRE DES ARTS URBAINS ASSOC;50125737200018;Subvention de Fonctionnement;9100.0;aide en numéraire;échelonné;2017-09-19;;non;1
