Section liquidation;Code tiers bénéficiaire;Nom bénéficiaire;N° SIRET;Type bénéficiaire;Montant versé en 2016
Fonctionnement;12113;GENERATIONS SOLIDAIRES ASSOC;35171765700024;Personne morale de droit privé;47000.0
Fonctionnement;12114;GENERATIONS REUNIES ASSOC;41290549900015;Personne morale de droit privé;2700.0
Fonctionnement;12569;LES GOURMETS DE LETTRES ASSOC;50089920800010;Personne morale de droit privé;3000.0
Fonctionnement;12728;GREP MIDI PYRENEES ASSOC;39158869600024;Personne morale de droit privé;8000.0
Fonctionnement;12745;CRECHE GRIBOUILLE;33984784000024;Personne morale de droit privé;218452.0
Fonctionnement;13300;COMITE DES QUARTIERS DE L HERS;49049841700016;Personne morale de droit privé;480.0
Fonctionnement;13398;LIGUE DROITS DE L HOMME ASSOC;78457872600043;Personne morale de droit privé;4800.0
Fonctionnement;13417;COLLECTIF D ASSOCIATION LE LIEN ASSOC;41828148100022;Personne morale de droit privé;72389.0
Fonctionnement;14009;CLEMENCE ISAURE;34432043700025;Personne morale de droit privé;17500.0
Fonctionnement;14151;CRECHE LE JARDIN ENCHANTE;39849452600021;Personne morale de droit privé;83245.76
Fonctionnement;14261;JERKOV;45330340600020;Personne morale de droit privé;16000.0
Fonctionnement;14268;JEUNESSE AU PLEIN AIR JPA COMITE DEPARTEMENTAL ASSOC;31128448300030;Personne morale de droit privé;4000.0
Fonctionnement;15325;ANIMATION SOCIALE ET SOLIDAIRE DES QUARTIERS OUEST TOULOUSAINS;32935971500011;Personne morale de droit privé;450359.55
Fonctionnement;15485;LAUZETA CHOEURS D ENFANTS DE TOULOUSE ASSOC;35166211900038;Personne morale de droit privé;17300.0
Fonctionnement;15955;CLAE ARMAND LEYGUES ASSOC;35006939900029;Personne morale de droit privé;156350.0
Fonctionnement;16110;LIRE ET FAIRE LIRE 31 ASSOC;45180060100010;Personne morale de droit privé;16500.0
Fonctionnement;16200;LOHENGRIN ASSOC;43263121600020;Personne morale de droit privé;32010.0
Fonctionnement;16224;LOISIRS EDUCATION ET CITOYENNETE GRAND SUD ASSOC;47992791500039;Personne morale de droit privé;12345.0
Fonctionnement;16651;MAIN TENDUE 31;47948658100024;Personne morale de droit privé;4000.0
Fonctionnement;17443;MEDIA  PITCHOUNES ASSOC;48431352300025;Personne morale de droit privé;8000.0
Fonctionnement;17527;TOULOUSE MELODIE FRANCAISE ASSOC;47948780300021;Personne morale de droit privé;10400.0
Fonctionnement;17540;LA MENAGERIE ASSOC;43143635100032;Personne morale de droit privé;6570.0
Fonctionnement;18003;MJC  EMPALOT ASSOC;77695165900015;Personne morale de droit privé;107480.0
Fonctionnement;18610;FRANCAISE CONTRE LES MYOPATHIES;77560957100309;Personne morale de droit privé;600.0
Fonctionnement;18705;NATURE MIDI PYRENEES ASSOC;32316822900033;Personne morale de droit privé;9900.0
Fonctionnement;18887;NIDS D ANGES CRECHE LES PETITS DROLES ASSOC;38312329600014;Personne morale de droit privé;91284.0
Fonctionnement;18962;NE PERDONS PAS LE NORD ASSOC;48828162700015;Personne morale de droit privé;450.0
Fonctionnement;19066;OCCE 31 ASSOC;39050553500018;Personne morale de droit privé;3000.0
Fonctionnement;19120;OCT ORCHESTRE CHAMBRE TOULOUSE SARL;47997515300020;Personne morale de droit privé;192000.0
Fonctionnement;19227;OMBRINE ET FANTASCOPE ASSOC;43143398600012;Personne morale de droit privé;1500.0
Fonctionnement;19491;L OUTIL EN MAIN ASSOC;50121992700016;Personne morale de droit privé;1000.0
Fonctionnement;19541;SOLIHA HAUTE GARONNE;77695150100043;Personne morale de droit privé;101804.73
Fonctionnement;19886;TOULOUSE CLUB PATINAGE ME CARLES ASSOC;41393856400023;Personne morale de droit privé;3000.0
Fonctionnement;19926;CRECHE PAUSE CALIN PROJET PETIT A PETIT ASSOC;39264627900019;Personne morale de droit privé;340521.8
Fonctionnement;19972;CERCLE PECH DAVID ASSOC;39061030100017;Personne morale de droit privé;36403.5
